date,keyword,google_trend,etsy_reviews,amazon_bsr,demand,competition,growth,trend,opportunity,seasonality,buyer_intent,collection,material,style,recommended_product,price_range,reason,etsy_price,etsy_sales,amazon_reviews,category,_ai_failed
2026-08-21,Personalized Grandpa Gift For Father's Day From Granddaughter Custom Shape Acrylic Ornament,68.0,120,15420,68,85,75,70,79,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Personalized Grandpa Gift For Father's Day From Granddaughter Custom Shape Acrylic Ornament,68.0,120,15420,68,85,75,70,79,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,halloween mug,4.0,120,15420,68,85,10,10,62,high,decor,Halloween,ceramic,spooky,ceramic mug 11oz/15oz,$16.99 - $24.99,"Moderate opportunity keyword. Demonstrates stable baseline demand with 120 active listings, but requires targeted long-tail niche differentiation to avoid direct ad spend competition.",16.99,1160,43,Drinkware,False
2026-08-21,ghost mirror,36.0,120,15420,68,85,20,36,65,medium,gift,Home Decor,acrylic,themed,custom shape acrylic ornament,$16.99 - $24.99,"Moderate opportunity keyword. Demonstrates stable baseline demand with 120 active listings, but requires targeted long-tail niche differentiation to avoid direct ad spend competition.",16.99,1160,43,Home Decor,False
2026-08-21,teacher tumbler,3.0,120,15420,68,85,10,10,62,high,gift,Drinkware,metal,themed,stainless steel tumbler 20oz/30oz,$16.99 - $24.99,"Moderate opportunity keyword. Demonstrates stable baseline demand with 120 active listings, but requires targeted long-tail niche differentiation to avoid direct ad spend competition.",16.99,1160,43,Drinkware,False
2026-08-21,Custom Photo Cat Mom Ceramic Mug Gift For Pet Lovers,68.0,120,15420,68,85,75,70,78,medium,gift,Mother's Day / Mom,ceramic,personalized,ceramic mug 11oz/15oz,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (70.0%).",16.99,1160,43,Drinkware,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,70,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Photo Cat Mom Ceramic Mug Gift For Pet Lovers,68.0,120,15420,68,85,75,70,78,medium,gift,Mother's Day / Mom,ceramic,personalized,ceramic mug 11oz/15oz,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (70.0%).",16.99,1160,47,Drinkware,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,70,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,47,Apparel,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,70,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,68,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,68,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,68,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,personalized grandpa acrylic ornament,52.0,120,15420,68,85,55,52,75,medium,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+18.5% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (75.0%).",16.99,1160,47,Home Decor,False
2026-08-21,Personalized Grandpa Gift For Father's Day From Granddaughter Custom Shape Acrylic Ornament,68.0,120,15420,68,85,75,68,79,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (75.0%).",16.99,1160,47,Home Decor,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,68,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,47,Apparel,False
2026-08-21,personalized grandpa acrylic ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Custom Photo Cat Mom Ceramic Mug Gift For Pet Lovers,52.0,120,15420,68,85,55,52,74,medium,gift,Mother's Day / Mom,ceramic,personalized,ceramic mug 11oz/15oz,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+18.5% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (70.0%).",16.99,1160,43,Drinkware,False
2026-08-21,Personalized Grandpa Gift For Father Day Custom Shape Acrylic Ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Personalized Grandpa Gift For Father Day Custom Shape Acrylic Ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,personalized grandpa acrylic ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Personalized Grandpa Gift For Father Day Custom Shape Acrylic Ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Personalized Grandpa Acrylic Ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,68.0,120,15420,68,85,75,68,78,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight t-shirt,$16.99 - $24.99,"High opportunity product with strong seasonal demand (+45.2% search growth), manageable Etsy competitor saturation (120 listings), and strong Printway manufacturing margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Embroidered Mama Sweatshirt With Kids Names On Sleeve,65.0,120,15420,68,85,60,55,74,medium,gift,Mother's Day / Mom,cotton,personalized,unisex heavyweight sweatshirt,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (65.0%).",16.99,1160,43,Apparel,False
2026-08-21,Custom Acrylic Night Light For Kids Room,65.0,120,15420,68,85,60,55,75,medium,gift,Home Decor,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
2026-08-21,personalized grandpa acrylic ornament,65.0,120,15420,68,85,60,70,75,high,gift,Father's Day / Grandpa,acrylic,personalized,custom shape acrylic ornament,$16.99 - $24.99,"High opportunity product on Etsy (14,500 searches/mo, 120 listings) and Amazon (1,250 units/mo) with strong Printway margin (75.0%).",16.99,1160,43,Home Decor,False
